product_name,product_category,product_id
Wireless Bluetooth Headphones,Technology,1
Mechanical Gaming Keyboard,Technology,2
Binder Clips Assorted 48pc,Office Supplies,3
Webcam HD 1080p,Technology,4
Standing Desk Converter,Furniture,5
Bookshelf 5-Tier,Furniture,6
Premium Notebook Set A5,Office Supplies,7
Laptop Stand Adjustable,Technology,8
Folding Table Portable,Furniture,10
Leather Wallet Minimalist,Clothing & Accessories,11
Paper Clips Box 500pc,Office Supplies,12
Travel Backpack 30L,Clothing & Accessories,14
Tape Dispenser Heavy Duty,Office Supplies,15
Business Casual Blazer,Clothing & Accessories,16
Corner L-Shaped Desk,Furniture,17
Ergonomic Office Chair,Furniture,18
Wool Blend Scarf,Clothing & Accessories,20
Whiteboard Markers Set 8,Office Supplies,21
Smart LED Desk Lamp,Technology,23
Sticky Notes Multicolor 6-Pack,Office Supplies,24
Desk Calendar 2025,Office Supplies,26
Floating Wall Shelves Set,Furniture,27
Portable External SSD 1TB,Technology,28
Stapler Full-Size,Office Supplies,32
Canvas Messenger Bag,Clothing & Accessories,34
Ballpoint Pen Pack 12,Office Supplies,38
Silk Tie Collection,Clothing & Accessories,43
Cotton Formal Shirt,Clothing & Accessories,44
USB-C Hub Multiport Adapter,Technology,46
Tablet Stand Holder,Technology,48
Sports Water Bottle 750ml,Clothing & Accessories,58
Noise Cancelling Earbuds,Technology,59
Monitor Riser Wood,Furniture,76
Leather Belt Classic,Clothing & Accessories,80
Desk Organizer Set,Furniture,85
Wireless Ergonomic Mouse,Technology,89
Mesh Back Task Chair,Furniture,104
Polarized Sunglasses,Clothing & Accessories,109
Highlighters Neon Pack 6,Office Supplies,130
Filing Cabinet 3-Drawer,Furniture,141
